id,datum,voornaam,patroniem,inhoud,bron,getuigen,bijzonderheden
2010001,1430,Adriaen,Anssenz,"zijn zoon Ansse Adriaen Anssenz.z, Dordrecht: rente tbv hem en van jvr Machteld Ansse Mathyszdochter, vrouw van Hughe van Foreest, op Haarlem, ½ jaar 7 £ 3sc 4d (184 fol 87v); 1440:  ½ jaar rente, 6 £ 12sc 2d 2 mite (195 fol 67v); 1428-1429: (fol 39v) Machteld Ansse Mathyszdochter en Ansse Adriaen Anssenz.z. kopen op 1428-09-17 een lijfrente van 10 R gld per jaar op Haarlem voor 140£ 5sc",Thesauriersrekening Haarlem,,
2010002,1424,Ading,Doedenz,"Ading Doedenz: maakt zeedijk bij St Maarten, het 2e vak voor 4¼ nobel, het 3e voor 4 ½ nobel, het 4e voor 4 nobel 1 ½ quart (855 fol 4v); (fol 10v) die daertoe gheeet is myns heren zeedyck te bewaren en dagelics op te wesen, voor zyn cost en arbeid 6£; 1425-1426: (857 fol 9v) van idem 6£, (fol 96 ?) maakt 6 roeden zeedyk te St Maarten voor 2¼ nobel; 1427: (857 fol 26v) die geest is zie boven, 6£; (fol 28) maakt 6 roeden dijk te Sint Maarten, 3 nobel 1½ quartier",Rek Rentmeester Kennemerland,,
2010003,1384-1385,Adinc,Doedenz,"Adinc Dodes: maakt 6 roeden dijk in Enigheborch, 3 £ 12sc (826 fol 25); 1389-1390: (828 fol 23v) Adinc Doedenz maakt 12 roeden dijc in Valkencooch, 34sc 4d; 1382: (823 fol 16v) maakt 9 roeden dijk in Valkencoich 10 £ 16sc",Rek Rentmeester Kennemerland,,
2010004,1185~,Ada,,"Ada, vrouw van graaf Floris III",v.d. Bergh I no 171,,
2010005,1617-12-06,Abraham ,Adriaensz,"leen van Vianen: no 610) ½ hoeve in Scherpenswijk, gesplitst; 610c) 3 morgen strekkende van de Corte kade tot de Zederik, waarvan 610D) de eerste morgen aan de dijk is, Dirk Adriaansz voor zijn vrouw Janneke Leenderts, na dode van haar moeder Antonia Jan Dircsdochter/Abraham Adriaensz voor zijn vrouw Fyke Leenderts, na dode van haar moeder Antonia Jan Dircsdochter; 610D) 1 morgen in een camp van 5 morgen, Abraham Adriaensz voor zijn vrouw Fyke, na dode van haar moeder Antonia; 610B) 4 morgen: Abraham Adriaensz voor zijn vrouw Fyke na dode van haar moeder; 610A): 1588-11-20: Antonia Jan Dircszdochter na dode van haar vader","Ons Voorgeslacht 07-1988 p 269, 270",,
2010006,1472-1486,Pieter~,heer Abelsz,schepen van Dordrecht: [Pieter] heren Abelsz [Voorcoper ?],Balen: Dordrecht p 295-299,,
2010007,1509,Abel,Wolfertsz,"Abel Wolfertsz voor de Grote Raad gedaagd door mr Martyn Jacobsz c.s, erfgenamen van Jacob Jansz: zij waren in beroep gegaan van een ten gusnte van Abel gewezen vonnis van het Hof van Holland (plaats en onderwerp van het geschil niet bekend)",Grote Raad Mechelen Beroepen Holland dl III dossier 231/2,,
2010008,1475,Abraham ,Gerritsz,"Abraham, zijn moer, van Scoeten, cloc Mary (fol 6v); 1487: (fol 11) Abraham Gerijtsz, van Scoten, geluit (cloc) Bavo met alle die clocken","Kerkelijke Rek Haarlem fol 6v, 11",,
2010009,1544-03-13,Abel,Evertsz,"Abel Evertsz, deurwaarder bij het Hof van Holland",Grote Raad Mechelen Beroepen Holland dl V dossier 449/1,,
2010010,1391-05-01,Abrioen,,"leen van Vianen: no 722) 6 ½ oude scilden op het veerschip te Vianen, lijftocht van Aleid, weduwe van Abrioen ",Ons Voorgeslacht 07-1988 p 329,,
2010011,1176,Absalon,de Meirs,"Absalon de Meirs, getuige",Oork Limburg no 519 p 210,,
2010012,770~800,Adalger,,Friese goederen van de abdij Fulda: Adalger tradidit in Mermendorf 20 petes terrae 300 in longum et prata ad 60 curradas,"v.d. Bergh I no 9, Caput 69",,
2010013,1017,Adalnodus,,quidam Giddinus cum filiis suis Eggardo et Adalnodo tradiderunt St Petro te Gend 4 portucaculam hereditatis sue sitam in pago Flandriae in loco Boltershando [Zeeuws Vlaanderen],Cartul de la Ville de Gend p 103,,
2010014,,Adalsendis,,"Adalsendis, zoon van Adalbaldus; Riogomarus x S Gertrudis, stierf in 655",Miraeus: Opera Dipl I p 139,,
2010015,1003-08-01~,Adalulfus,,"Adalulfus cum conjuge sua Duda et filio suo Gerardo tradidit St Pieter te Gend alodem suum in Moringehem, id est unum mansum; ipsa Duda cum filio sio tradidit pro anima senioris Walkeri (?) 2 mansos in loco Mothem",Cartul de la Ville de Gend p 101,,
2010016,989-10-01,Adalwif,,"Adalwif tradidit St Petro in Gend possessionem sitam in Hudeslo et quidam Robertus habuit in Berchhem [bij Oudenaarde], Thietbertus possssionem suam quam habuit in Hurne, id est bonarios duo",Cartul de la Ville de Gend p 93,,
2010017,1002-10-20,Adam,,"vir quidam dive memorie Sigardus nomine cum filiis suis Ermenfrido, Adam, Erlewino tradidit aan St Pieter te Gend hereditatem suam, id est ecclesiam unam in Terdengim situm in pago Taruennensi ",Cartul de la Ville de Gend p 100,,
2010018,1468-02-08,Adam,Bertelmeusz,burgemeester van Delft: Adam Bertelmeusz,Coll Aanw 238 fol 237v/Memorien Hof van Holland,,
2010019,"1429, 1430",Adam,Claesz,burgemeester of schepen van Alkmaar: Adam Claesz,"Bruinvis: Alkmaar p 16, 22",,
